id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,is_potentially_hazardous,close_approach_date,relative_velocity_km_s,miss_distance_au,orbiting_body
54516181,(2025 BH),25.29,0.0232570687,0.0520043867,False,2025-01-13,14.9174749625,0.008850496,Earth
54517094,(2025 BT2),26.82,0.0114962176,0.0257063241,False,2025-01-13,17.2294677911,0.0073134497,Earth
54529811,(2025 JH2),27.05,0.01034082,0.0231227764,False,2025-01-13,5.0988330654,0.1832041348,Earth
3313157,(2006 BA),27.6,0.0080270317,0.0179489885,False,2025-01-12,10.6819175304,0.1476763623,Earth
3648878,(2013 TG6),26.58,0.012839703,0.0287104486,False,2025-01-12,12.4569412057,0.2878420159,Earth
3989277,(2020 BN12),25.9,0.0175612318,0.0392681082,False,2025-01-12,10.7614171586,0.1710782492,Earth
54105515,(2021 AR5),25.55,0.0206326484,0.0461360043,False,2025-01-12,5.8196598093,0.0772124437,Earth
54111266,(2021 CG4),25.89,0.0176422908,0.0394493615,False,2025-01-12,15.6489439914,0.3275114684,Earth
54214729,(2021 UO7),29.55,0.0032700544,0.0073120639,False,2025-01-12,7.6516383262,0.1085944484,Earth
54321433,(2022 UB13),29.92,0.0027577505,0.0061665176,False,2025-01-12,2.5309263627,0.4610908152,Earth
54395027,(2023 UJ),26.31,0.0145396843,0.0325117225,False,2025-01-12,16.2748078974,0.3144614327,Earth
54433329,(2024 GD2),25.55,0.0206326484,0.0461360043,False,2025-01-12,3.1257268761,0.1330794394,Earth
54513040,(2024 YZ12),26.54,0.0130784109,0.0292442157,False,2025-01-12,8.5484805862,0.0080709272,Earth
54514890,(2024 YB26),26.52,0.0131994239,0.0295148091,False,2025-01-12,5.4955902224,0.0588231579,Earth
54515423,(2025 AK3),26.17,0.0155079709,0.0346768771,False,2025-01-12,7.4599258314,0.0341976065,Earth
54517340,(2025 BN4),25.92,0.0174002295,0.038908096,False,2025-01-12,7.303827807,0.0452859612,Earth
54539810,(2025 PB1),23.45,0.0542693946,0.1213500554,False,2025-01-12,12.5764408435,0.1610844952,Earth
3615463,(2012 UK171),24.46,0.0340843469,0.0762149166,False,2025-01-11,6.3620428316,0.0272815143,Earth
3730322,(2015 TL178),21.26,0.1487835705,0.3326901775,True,2025-01-11,17.5611867728,0.3322232311,Earth
3742059,(2016 CF31),21.73,0.1198270801,0.2679414966,False,2025-01-11,14.3261753538,0.1733688496,Earth
3773744,(2017 FB157),27.7,0.0076657557,0.0171411509,False,2025-01-11,12.9242431904,0.348496474,Earth
3795086,(2017 YQ5),24.7,0.0305179233,0.0682401509,False,2025-01-11,12.4713507414,0.2158651636,Earth
3797456,(2018 AN2),24.8,0.0291443905,0.0651688382,False,2025-01-11,11.3932530243,0.1630575921,Earth
3836886,(2018 XA4),29.0,0.0042126461,0.0094197631,False,2025-01-11,9.0791987063,0.400531708,Earth
54144373,(2021 JY3),28.45,0.0054269395,0.0121350055,False,2025-01-11,4.3864300936,0.2075418236,Earth
54375205,(2023 OA),26.45,0.0136318556,0.0304817558,False,2025-01-11,19.3208543055,0.4610044616,Earth
54514248,(2025 AF1),27.75,0.0074912618,0.0167509707,False,2025-01-11,4.8633185571,0.0119554462,Earth
54515075,(2025 AV2),26.24,0.0150160248,0.0335768522,False,2025-01-11,16.8502308359,0.0199194001,Earth
54515857,(2025 AW3),24.4,0.0350392641,0.0783501764,False,2025-01-11,6.1588219753,0.127384406,Earth
54516006,(2025 AZ3),25.91,0.0174805453,0.0390876876,False,2025-01-11,8.2168127923,0.001525595,Earth
54517237,(2025 BA3),26.02,0.0166170902,0.0371569432,False,2025-01-11,7.2706986601,0.0082718346,Earth
2497113,497113 (2004 EK1),22.29,0.0925880583,0.2070331923,False,2025-01-10,6.2743345001,0.1993517098,Earth
3167343,(2003 WP7),23.45,0.0542693946,0.1213500554,False,2025-01-10,11.7118088658,0.1514518251,Earth
3702319,(2014 YD),24.29,0.0368599699,0.0824213984,False,2025-01-10,4.7349231223,0.1001002311,Earth
3797861,(2018 BM3),21.99,0.1063053145,0.2377059096,True,2025-01-10,22.8423951082,0.1458218011,Earth
54111251,(2021 CO3),25.78,0.0185590173,0.0414992243,False,2025-01-10,14.7232196793,0.4570949431,Earth
54244187,(2022 CD),26.11,0.0159424468,0.0356483948,False,2025-01-10,15.244067355,0.2419457372,Earth
54327909,(2022 WW2),25.57,0.0204434871,0.0457130269,False,2025-01-10,9.4348852996,0.3229407569,Earth
54457674,(2024 MH2),23.5,0.0530340723,0.1185877909,False,2025-01-10,9.5462869245,0.4952814317,Earth
54458508,(2024 NA2),25.14,0.0249203981,0.0557237043,False,2025-01-10,4.109881063,0.1266738409,Earth
54509633,(2024 YD5),26.27,0.0148099972,0.0331161605,False,2025-01-10,7.1901886102,0.0386291559,Earth
54538392,(2025 OL1),25.03,0.0262153087,0.0586192124,False,2025-01-10,8.566371362,0.1836477107,Earth
3399548,(2008 AU28),25.03,0.0262153087,0.0586192124,False,2025-01-09,10.7616544527,0.0321658322,Earth
3701880,(2014 XO7),26.8,0.0116025908,0.0259441818,False,2025-01-09,8.9190161339,0.36766218,Earth
3878578,(2019 TL2),24.4,0.0350392641,0.0783501764,False,2025-01-09,5.1613772387,0.3977000167,Earth
3892010,(2019 UE13),25.75,0.0188171989,0.042076536,False,2025-01-09,7.2246441634,0.3503993371,Earth
54376020,(2023 OS3),27.82,0.0072536229,0.016219594,False,2025-01-09,3.0567992784,0.0513504927,Earth
54445922,(2024 LQ1),25.51,0.0210162379,0.0469937366,False,2025-01-09,6.3343361342,0.1787870768,Earth
54466137,(2024 PT5),27.45,0.0086011194,0.0192326877,False,2025-01-09,1.0253286228,0.012036039,Earth
54500496,(2024 WS2),22.75,0.0749126183,0.1675097069,False,2025-01-09,13.0240937092,0.1686198212,Earth
54512612,(2024 YW9),26.33,0.0144063837,0.0322136532,False,2025-01-09,7.8247946491,0.0069605467,Earth
54513044,(2024 YD13),25.9,0.0175612318,0.0392681082,False,2025-01-09,7.266967644,0.0374527248,Earth
54515856,(2025 AU3),25.43,0.021804944,0.0487573371,False,2025-01-09,19.4858381667,0.0211729715,Earth
54516457,(2025 BY),24.57,0.0324007435,0.0724502651,False,2025-01-09,11.2018245193,0.0541400337,Earth
2000887,887 Alinda (A918 AA),13.81,4.5978518828,10.2811093604,False,2025-01-08,8.2486989067,0.0821977284,Earth
2451003,451003 (2008 UD1),19.49,0.3361669212,0.7516920875,False,2025-01-08,14.1497502351,0.1791506831,Earth
3485264,(2010 AL30),27.2,0.0096506147,0.0215794305,False,2025-01-08,13.5818178365,0.1306268363,Earth
3692560,(2014 TU),25.09,0.0255008688,0.0570216761,False,2025-01-08,7.0312838109,0.3046948634,Earth
