des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h,fullname,Potentially Hazardous,Estimated Diameter (km)
2025 FN2,1,2460759.668353905,2025-Mar-25 04:02,0.0245896113210524,0.024437268605788,0.024741951084784,11.7903428676687,11.7811488862834,< 00:01,25.74,       (2025 FN2),No,2.5261606340184692
2025 FP11,4,2460759.684706280,2025-Mar-25 04:26,0.036222570440862,0.0360594047637367,0.0363857332026345,8.62467754691683,8.61614448065516,< 00:01,26.22,       (2025 FP11),No,2.0251675648861176
2025 FT,4,2460759.869281858,2025-Mar-25 08:52,0.0130472741790281,0.0129775153973437,0.0131170292218937,8.99259630660704,8.96985806453472,< 00:01,27.16,       (2025 FT),No,1.3135934162901703
2025 FH25,1,2460760.039061929,2025-Mar-25 12:56,0.00165829427079671,0.0016073821907527,0.00170931276508037,9.70834426077421,9.54140608990599,04:41,28.64,       (2025 FH25),No,0.6644479458044908
2025 FD15,1,2460760.310896857,2025-Mar-25 19:28,0.0219262084806392,0.021626540474411,0.0222258587473078,10.5224430694501,10.5108880480396,< 00:01,27.65,       (2025 FD15),No,1.048240567429748
2025 FK2,7,2460760.468010671,2025-Mar-25 23:14,0.0303048047600271,0.0302039368359762,0.0304056630804643,3.50892776154237,3.48378080487227,< 00:01,26.84,       (2025 FK2),No,1.5221623059915035
2025 FR2,2,2460760.572098118,2025-Mar-26 01:44,0.0181534402406926,0.0180905454590432,0.0182163338754544,10.5333403964595,10.5193967987778,< 00:01,26.71,       (2025 FR2),No,1.6160729576065445
2014 TN17,29,2460760.981606666,2025-Mar-26 11:34,0.0340399977531281,0.0340399946627568,0.0340400008435381,21.4671516983352,21.4635051221054,< 00:01,21.5,       (2014 TN17),Yes,17.801678898904683
2025 FZ15,1,2460761.126941475,2025-Mar-26 15:03,0.00110851611334808,0.0011062598470032,0.00111077208552517,12.6819897248382,12.4910197003944,00:03,29.21,       (2025 FZ15),No,0.5110471411041416
2025 FD20,1,2460761.201116767,2025-Mar-26 16:50,0.0140165119213402,0.0138100601273744,0.0142229565146549,18.3774715164115,18.3671246480675,00:05,25.74,       (2025 FD20),No,2.5261606340184692
2025 FD2,3,2460761.305405261,2025-Mar-26 19:20,0.0140934620903227,0.0140403596871885,0.0141465626110007,8.94312104242891,8.92195596955272,< 00:01,27.49,       (2025 FD2),No,1.1283945063537228
2025 FZ14,3,2460761.377913206,2025-Mar-26 21:04,0.00811567670477623,0.0080993202757582,0.00813203280549383,11.3914000727895,11.3625424230335,< 00:01,26.23,       (2025 FZ14),No,2.0158627651322383
2025 FY11,5,2460761.381890034,2025-Mar-26 21:10,0.00333234878476822,0.0033308589858928,0.00333383845151394,4.05891184054621,3.85689063771154,< 00:01,28.78,       (2025 FY11),No,0.6229611495662376
2025 FS5,5,2460761.422916979,2025-Mar-26 22:09,0.0492955706486299,0.0490636315730522,0.0495275091952666,21.1087076678693,21.1061469062228,< 00:01,24.17,       (2025 FS5),No,5.205482168183558
2025 DW5,6,2460761.431458464,2025-Mar-26 22:21,0.0423124021240577,0.0421712952723361,0.0424535053355681,5.6381949117,5.62701507707324,< 00:01,24.66,       (2025 DW5),No,4.153947114878668
2025 GC,4,2460761.444845741,2025-Mar-26 22:41,0.0124344616499995,0.0124156693958574,0.0124532532139041,5.93440706825952,5.89818815986561,< 00:01,27.59,       (2025 GC),No,1.0776083876751223
2025 FE18,1,2460761.489529919,2025-Mar-26 23:45,0.00241837342231341,0.0024123251352796,0.00242442160706379,17.9082331381074,17.846604271102,00:02,29.35,       (2025 FE18),No,0.479138383247332
2025 FT12,12,2460761.613900888,2025-Mar-27 02:44,0.0191345165130392,0.0191056564744102,0.0191633762377717,8.79359880615195,8.77774915235254,< 00:01,24.87,       (2025 FT12),No,3.7710384721612993
2007 EJ88,12,2460761.769677077,2025-Mar-27 06:28,0.0485616691299871,0.0485612705044059,0.0485620677556234,25.8512521408961,25.8491296052282,< 00:01,23.61,       (2007 EJ88),No,6.7369133748052175
